S 18ed0c,4 hit
S 18ed10,4 hit
S 18ed14,4 hit
S 18ed18,4 hit
S 18ed1c,4 hit
S 18ed20,4 miss eviction
S 18ed24,4 hit
S 18ed28,4 hit
S 18ed2c,4 hit
S 18ed30,4 hit
S 18ed34,4 hit
S 18ed38,4 hit
S 18ed3c,4 hit
S 18ed40,4 miss eviction
S 18ed44,4 hit
S 18ed48,4 hit
S 18ed4c,4 hit
S 18ed50,4 hit
S 18ed54,4 hit
S 18ed58,4 hit
S 18ed5c,4 hit
S 18ed60,4 miss eviction
S 18ed64,4 hit
S 18ed68,4 hit
S 18ed6c,4 hit
S 18ed70,4 hit
S 18ed74,4 hit
S 18ed78,4 hit
S 18ed7c,4 hit
S 18ed80,4 miss eviction
S 18ed84,4 hit
S 18ed88,4 hit
S 18ed8c,4 hit
S 18ed90,4 hit
S 18ed94,4 hit
S 18ed98,4 hit
S 18ed9c,4 hit
S 18eda0,4 miss eviction
S 18eda4,4 hit
S 18eda8,4 hit
S 18edac,4 hit
S 18edb0,4 hit
S 18edb4,4 hit
S 18edb8,4 hit
S 18edbc,4 hit
S 18edc0,4 miss eviction
S 18edc4,4 hit
S 18edc8,4 hit
S 18edcc,4 hit
S 18edd0,4 hit
S 18edd4,4 hit
S 18edd8,4 hit
S 18eddc,4 hit
S 18ede0,4 miss eviction
S 18ede4,4 hit
S 18ede8,4 hit
S 18edec,4 hit
S 18edf0,4 hit
S 18edf4,4 hit
S 18edf8,4 hit
S 18edfc,4 hit
S 18ee00,4 miss eviction
S 18ee04,4 hit
S 18ee08,4 hit
S 18ee0c,4 hit
S 18ee10,4 hit
S 18ee14,4 hit
S 18ee18,4 hit
S 18ee1c,4 hit
S 18ee20,4 miss eviction
S 18ee24,4 hit
S 18ee28,4 hit
S 18ee2c,4 hit
S 18ee30,4 hit
S 18ee34,4 hit
S 18ee38,4 hit
S 18ee3c,4 hit
S 18ee40,4 miss eviction
S 18ee44,4 hit
S 18ee48,4 hit
S 18ee4c,4 hit
S 18ee50,4 hit
S 18ee54,4 hit
S 18ee58,4 hit
S 18ee5c,4 hit
S 18ee60,4 miss eviction
S 18ee64,4 hit
S 18ee68,4 hit
S 18ee6c,4 hit
S 18ee70,4 hit
S 18ee74,4 hit
S 18ee78,4 hit
S 18ee7c,4 hit
S 18ee80,4 miss eviction
S 18ee84,4 hit
S 18ee88,4 hit
S 18ee8c,4 hit
S 18ee90,4 hit
S 18ee94,4 hit
S 18ee98,4 hit
S 18ee9c,4 hit
S 18eea0,4 miss eviction
S 18eea4,4 hit
S 18eea8,4 hit
S 18eeac,4 hit
S 18eeb0,4 hit
S 18eeb4,4 hit
S 18eeb8,4 hit
S 18eebc,4 hit
S 18eec0,4 miss eviction
S 18eec4,4 hit
S 18eec8,4 hit
S 18eecc,4 hit
S 18eed0,4 hit
S 18eed4,4 hit
S 18eed8,4 hit
S 18eedc,4 hit
S 18eee0,4 miss eviction
S 18eee4,4 hit
S 18eee8,4 hit
S 18eeec,4 hit
S 18eef0,4 hit
S 18eef4,4 hit
S 18eef8,4 hit
S 18eefc,4 hit
S 18ef00,4 miss eviction
S 18ef04,4 hit
S 18ef08,4 hit
S 18ef0c,4 hit
S 18ef10,4 hit
